наименование,зарплата,опыт,требуемые навыки,ссылка
"Швея в цех по пошиву постельного белья и домашнего текстиля, сегмент (Средний плюс, Люкс)","{'from': 80000, 'to': 110000}",От 1 года до 3 лет,"ОПЫТ ПО ПОШИВУ НА ПРОИЗВОДСТВЕ ПОСТЕЛЬНОГО БЕЛЬЯ - ОБЯЗАТЕЛЕН. Опыт работы на промышленном оборудовании, пошиву постельного белья - обязателен.",https://hh.ru/vacancy/79417033
Швея-портной,"{'from': 50000, 'to': None}",От 1 года до 3 лет,"Опыт работы с профессиональной техникой , на промышленных машинах. Аккуратность. Чистоплотность. Пунктуальность. Опыт работы в пошиве или ремонте одежды.",https://hh.ru/vacancy/79684711
Швея-технолог мягкой мебели,"{'from': 100000, 'to': None}",От 3 до 6 лет,"Аналогичный опыт работы с мягкой мебелью, опыт моделирования диванов.",https://hh.ru/vacancy/79764387
Швея-портной (Мастер по ремонту одежды),"{'from': 85000, 'to': 130000}",От 3 до 6 лет,"пошив одежды (по желанию). - высокая квалификация. - умение работать с различными видами тканей, от тонких деликатных до пальтовых. - ответственность, аккуратность. - ",https://hh.ru/vacancy/79643490
Швея лаборант,"{'from': 80000, 'to': 90000}",Более 6 лет,"Опыт работы от 3 лет. Отличное знание технологии пошива женской одежды (легкая и верхняя). Знание промышленного оборудования. Аккуратность, порядочность.",https://hh.ru/vacancy/79742218
Швея,"{'from': 50000, 'to': 80000}",От 1 года до 3 лет,Опыт работы на профессиональном оборудовании. Аккуратность и скорость.,https://hh.ru/vacancy/80025781
Швея-портной,"{'from': 80000, 'to': 130000}",От 1 года до 3 лет,,https://hh.ru/vacancy/79462407
Швея,"{'from': 60000, 'to': 90000}",От 1 года до 3 лет,Опыт работы в швейном цехе обязателен.,https://hh.ru/vacancy/79140928
Швея,"{'from': 80000, 'to': 100000}",От 1 года до 3 лет,ОПЫТ РАБОТЫ ОБЯЗАТЕЛЕН (не менее 2х лет)! > Опыт paбoты нa швейном прoизводстве (умeниe рaботать на прoмышлeннoм швейном oбoрудoвании: Пpямoстpочка...,https://hh.ru/vacancy/80228753
Швея в трикотажную группу,"{'from': 85000, 'to': None}",От 1 года до 3 лет,"Обязателен опыт на фабрике на скоростной линии от 1 года. Готовность к выполнению однообразных и монотонных действий. Терпение, аккуратность, устойчивое...",https://hh.ru/vacancy/78166415
Швея / Портной по пошиву штор,"{'from': 70000, 'to': None}",Нет опыта,"Если у Вас нет опыта работы, но есть профильное образование и желание развиваться в этой профессии, то смело присылайте Ваше...",https://hh.ru/vacancy/78850129
Швея (швейное производство),"{'from': 65000, 'to': 100000}",От 1 года до 3 лет,Опыт работы на швейном производстве более 1 лет. - Знание технологических процессов массового производства трикотажный и текстильных изделий. - Опыт работы на...,https://hh.ru/vacancy/79128559
Швея на Петли Пуговицы,"{'from': 65000, 'to': 85000}",От 3 до 6 лет,Скорость работы.,https://hh.ru/vacancy/79119974
Швея-портной,"{'from': 80000, 'to': None}",Более 6 лет,"Работа с тонкими, деликатными тканями (шёлк, шифон, лён, шерсть, вискоза). Высокая скорость работы. Внимательность. Аккуратность. Уживчивость к коллективе.",https://hh.ru/vacancy/79873200
Швея,"{'from': 70000, 'to': 100000}",Более 6 лет,"Опыт работы, качество пошива, организованность.",https://hh.ru/vacancy/79851474
Швея-портной,"{'from': 80000, 'to': 130000}",От 1 года до 3 лет,Знание технологической обработки всех узлов изделия . Уметь собирать изделие от начала до конца. Ответственность. Пунктуальность.,https://hh.ru/vacancy/79127930
Швея,"{'from': 70000, 'to': 110000}",От 1 года до 3 лет,"Ровные швы, строчки, понимание того что делаешь. -желание работать и развивать профессиональные навыки. Требование: -Знания технологий, методов и приемов пошива...",https://hh.ru/vacancy/79421614
Швея на производство матрасов,"{'from': 40000, 'to': 110000}",От 1 года до 3 лет,Опыт работы на швейном производстве от 2-х лет. Внимательность. Обучаемость.,https://hh.ru/vacancy/79693167
